Abk,Name
AAA.DE,A.A.A. Aktiengesellschaft Allgemeine Anlageverwaltung
AAP.DE,Moko Social Media Limited
AAU.DE,AIFUL Corporation
ABEC.DE,Alphabet Inc.
ABIT.DE,AXA IM ACT Biodiversity Equity UCITS ETF - USD Acc
ABL.DE,Abbott Laboratories
ABP.DE,Panera Bread Company
ABR.DE,Barrick Gold Corporation
ACB.DE,Alpha Bank A.E.
ACI.DE,Astaldi SpA
ACR.DE,Accor SA
ACT.DE,AlzChem Group AG
ACV.DE,All for One Steeb AG
ADA.DE,"Achillion Pharmaceuticals, Inc."
ADC.DE,AdCapital AG
ADD.DE,Adler Modemärkte AG
ADM.DE,Archer-Daniels-Midland Company
ADP.DE,Automatic Data Processing Inc
ADV.DE,ADVA Optical Networking SE
ADX.DE,Acanthe Developpement
AED.DE,"Grupo Aeroportuario del Sureste, SAB de CV"
AEI.DE,Allgeier SE
AEMD.DE,Amundi Index Solutions - Amundi Index MSCI Emerging Markets
AFG.DE,"American Eagle Outfitters, Inc."
AFL.DE,Aflac Incorporated
AFT.DE,Abercrombie & Fitch Co.
AGA.DE,Alleghany Corporation
AGD.DE,American Science &amp; Engineering Inc.
AGE.DE,Agfa-Gevaert NV
AGG.DE,Perpetual Energy Inc.
AGL.DE,Agree Realty Corp.
AGT.DE,"AptarGroup, Inc."
AGX.DE,Agennix AG
AHG.DE,Pure Energy Minerals Limited
AHYB.DE,Amundi Index Solutions - Amundi Global AGG SRI
AIO.DE,"ABIOMED, Inc."
AIR.DE,Airbus SE
AIV.DE,Apartment Investment and Management Company
AJXA.DE,AFC Ajax NV
AKP.DE,Anika Therapeutics Inc.
AKU.DE,Akzo Nobel N.V.
ALD.DE,Honeywell International Inc.
ALE.DE,Alps Electric Co. Ltd.
ALG.DE,ALBIS Leasing AG
ALK.DE,"Alaska Air Group, Inc."
ALV.DE,Allianz SE
ALX.DE,Alexanderwerk AG
AMC.DE,Albemarle Corp
AMD.DE,"Advanced Micro Devices, Inc."
AMED.DE,Amundi Index Solutions-Amundi MSCI EMU ESG Leaders Select
AMG.DE,Amgen Inc.
AMK.DE,"Amkor Technology, Inc."
AMP.DE,AMP Limited
AMS.DE,American Superconductor Corporation
AMT.DE,TD Ameritrade Holding Corporation
AMU.DE,"AMAG Pharmaceuticals, Inc."
AMWD.DE,INAV INVE.SOLAR ENERGY DL
AMWK.DE,IN.ISH.CO.DAX DE EO DI.SF
AMWL.DE,IN.ISH.CO.DAX DE EO DI.LS
AOF.DE,ATOSS Software AG
AON.DE,"Aozora Bank, Ltd."
AOR.DE,"Solaria Energía y Medio Ambiente, S.A."
AOS.DE,Amdocs Limited
APA.DE,APA Corporation
APM.DE,ad pepper media International N.V.
APO.DE,"Apollo Education Group, Inc."
APPH.DE,Apontis Pharma AG
AQU.DE,Gigaset AG
ARB.DE,Ashburton Ventures Inc.
ARI.DE,Intra Energy Corporation Limited
ARL.DE,Aareal Bank AG
ARW.DE,"Arrow Electronics, Inc."
ASG.DE,Assicurazioni Generali S.p.A.
ASH.DE,Laura Ashley Holdings plc
ASMB.DE,ASML Holding NV
ASRE.DE,BNP Paribas Easy JPM ESG EMU Government Bond IG 3-5 Y
ASRT.DE,BNP Paribas Easy € Corp Bond SRI PAB
ASRV.DE,BNP Paribas Easy ESG Eurozone Biodiversity Leaders PAB
ASX.DE,PT Astra Agro Lestari Tbk
ATI.DE,Athabasca Oil Corporation
ATO.DE,ATS Automation Tooling Systems Inc.
AUB.DE,Platypus Minerals Ltd
AUD.DE,"Autodesk, Inc."
AVA.DE,Ascopiave S.p.A.
AVB.DE,Asiatravel.com Holdings Ltd
AVD.DE,"Avid Technology, Inc."
AVES.DE,Aves One AG
AVI.DE,Viking Mines Limited
AVK.DE,Aeon Stores (Hong Kong) Co. Limited
AVT.DE,AviChina Industry &amp; Technology Company Limited
AWR.DE,"Aware, Inc."
AXR.DE,"Matson, Inc."
AXS.DE,"Abaxis, Inc."
BABB.DE,PT Bank Permata Tbk
BAC.DE,Verizon Communications Inc.
BAR.DE,"Barnes &amp; Noble, Inc."
BASA.DE,BASF SE
BBH.DE,Deutsche Balaton AG
BBN.DE,The Blackstone Group L.P.
BBQ.DE,Beter Bed Holding NV
BBUS.DE,JPMorgan ETFs (Ireland) ICAV - BetaBuilders US Equity UCITS ETF
BBVA.DE,"Banco Bilbao Vizcaya Argentaria, S.A."
BBY.DE,Bed Bath & Beyond Inc
BCO.DE,The Boeing Company
BCSA.DE,"Brocade Communications Systems, Inc."
BCV.DE,CVB Financial Corp.
BDJ.DE,Bendigo and Adelaide Bank Limited
BGT.DE,Bridgestone Corp.
BGX.DE,Expat Bulgaria SOFIX UCITS ETF
BHM.DE,Bachem Holding AG
BIG.DE,Bio-Gate AG
BIO.DE,Biotest Aktiengesellschaft
BIOS.DE,Biotest Aktiengesellschaft
BKD.DE,Bruker Corporation
BKN.DE,The Bank of Nova Scotia
BLD.DE,The British Land Company PLC
BLUE.DE,BNP PARIBAS EASY - ECPI Global ESG Blue Economy ETF Cap
BLX.DE,Black Box Corporation
BME.DE,Beijing Media Corporation Limited
BMI.DE,BP Prudhoe Bay Royalty Trust
BMO.DE,Moninger Holding AG
BNE.DE,Burcon Nutrascience Corporation
BNO.DE,Harvest Natural Resources Inc.
BNR.DE,Brenntag SE
BOB.DE,Bounty Oil &amp; Gas NL
BON.DE,Boiron SA
BOSS.DE,Hugo Boss AG
BOX.DE,"Becton, Dickinson and Company"
BRD.DE,Braskem S.A.
BRN.DE,"Softbrain Co.,Ltd."
BRW.DE,SABMiller plc
BRYN.DE,Berkshire Hathaway Inc.
BSL.DE,Basler Aktiengesellschaft
BST.DE,Bastei Lübbe AG
BSX.DE,Boston Scientific Corporation
BSY.DE,Böwe Systec AG
BTT.DE,Babcock-BSH AG
BUD.DE,Rudolph Technologies Inc.
BUG.DE,Global X Cybersecurity UCITS ETF
BWB.DE,Baader Bank Aktiengesellschaft
BWV.DE,BasWare Oyj
BYN.DE,Rubis
CAG.DE,Clere AG
CAL.DE,Camden Property Trust
CAMX.DE,Lyxor Commodities Thomson Reuters/CoreCommodity CRB EX-Agriculture TR UCITS ETF
CAN.DE,Lyxor MSCI Canada UCITS ETF - D-EUR
CAR.DE,Carrefour SA
CASH.DE,L&GE Fund MSCI China A UCITS ETF
CBA.DE,Brilliance China Automotive Holdings Limited
CBHC.DE,Coloplast A/S
CBT.DE,Cabot Corporation
CBUS.DE,iShares Core UK Gilts UCITS ETF GBP (Dist)
CCAP.DE,CORESTATE Capital Holding S.A.
CCI.DE,"CIRCOR International, Inc."
CCJ.DE,Cincinnati Financial Corp.
CCL.DE,Coca-Cola Amatil Limited
CCLD.DE,Global X China Cloud Computing UCITS ETF
CDAB.DE,I.IS.MS.W.P.A.CL.DL DI.SF
CDAK.DE,FCF RI.MANA.SE.NE.DI.I.DL
CDAQ.DE,I.I.M.CH.T.A.SH.ST.C.A.LS
CDAY.DE,I.I.EO H.C.B.E. SF H.A.EO
CDE.DE,City Developments Limited
CDS.DE,"Cadence Design Systems, Inc."
CEE.DE,Ceyoniq Technology GmbH
CEI.DE,Core Laboratories NV
